commodity,province,MAPE,MAE,samples
Cabai Rawit Merah,Kepulauan Bangka Belitung,3.3242772199183728,2284.0747240360697,1004
Cabai Rawit Merah,Kepulauan Riau,3.1488962642532696,2189.483344993781,1004
Cabai Rawit Merah,Lampung,2.3772607986144334,1161.9781366604477,1004
Cabai Rawit Merah,Maluku,5.729766674876383,4253.022582400497,1004
Cabai Rawit Merah,Maluku Utara,3.8899287995192005,2967.4500349813434,1004
Cabai Rawit Merah,Nusa Tenggara Barat,3.3765684068790893,1552.873639614428,1004
Cabai Rawit Merah,Nusa Tenggara Timur,2.8454881681439987,1518.6560362251244,1004
Cabai Rawit Merah,Papua,3.8518469456900295,3140.7216456778606,1004
Cabai Rawit Merah,Papua Barat,5.280800315889951,4060.4686722636816,1004
Cabai Rawit Merah,Riau,5.26048910877942,2844.2476873445275,1004
Cabai Rawit Merah,Sulawesi Barat,4.379157946735613,1800.4226815143036,1004
Cabai Rawit Merah,Sulawesi Selatan,3.4220022696827073,1226.1342117537313,1004
Cabai Rawit Merah,Sulawesi Tengah,3.8408015918853255,1987.686955845771,1004
Cabai Rawit Merah,Sulawesi Tenggara,4.888294906752848,2505.3014711598257,1004
Cabai Rawit Merah,Sulawesi Utara,5.916622704436205,3004.742236085199,1004
Cabai Rawit Merah,Sumatera Barat,8.855809392550096,4127.4741429570895,1004
Cabai Rawit Merah,Sumatera Selatan,2.2645413222026125,1160.7407396610697,1004
Cabai Rawit Merah,Sumatera Utara,9.444752463864992,4668.52587647699,1004
Daging Ayam Ras,Aceh,0.8476946070386466,259.6323849502487,1004
Daging Ayam Ras,Bali,0.9036976328847942,353.8786536069652,1004
Daging Ayam Ras,Banten,1.067987210803487,396.25505286069654,1004
Daging Ayam Ras,Bengkulu,1.3395715687675749,482.00698655161693,1004
Daging Ayam Ras,DI Yogyakarta,1.0338615716879485,359.14920514614425,1004
Daging Ayam Ras,DKI Jakarta,1.5696868139566598,598.4616954291045,1004
Daging Ayam Ras,Gorontalo,0.8532937627712879,272.8902751865672,1004
Daging Ayam Ras,Jambi,1.115908962428515,383.32760999689054,1004
Daging Ayam Ras,Jawa Barat,0.8151643314839259,299.6360191231343,1004
Daging Ayam Ras,Jawa Tengah,0.6722141541244457,234.8259289490049,1004
Daging Ayam Ras,Jawa Timur,0.7858696497876686,268.34546019900495,1004
Daging Ayam Ras,Kalimantan Barat,1.0177696922400374,434.2946595149254,1004
Daging Ayam Ras,Kalimantan Selatan,2.101670064086545,727.8731343283582,1004
Daging Ayam Ras,Kalimantan Tengah,0.98342069934489,432.7696089863184,1004
Daging Ayam Ras,Kalimantan Timur,2.3432112623026846,981.391849347015,1004
Daging Ayam Ras,Kalimantan Utara,0.9021380103060299,432.3633589863184,1004
Daging Ayam Ras,Kepulauan Bangka Belitung,1.456951728755252,537.9461773165423,1004
Daging Ayam Ras,Kepulauan Riau,1.154498625662291,468.8300101057214,1004
Daging Ayam Ras,Lampung,0.7523210748340791,252.34819068718906,1004
Daging Ayam Ras,Maluku,1.3645450594856354,646.8395328047263,1004
Daging Ayam Ras,Maluku Utara,1.2542141713766048,577.1194224191543,1004
Daging Ayam Ras,Nusa Tenggara Barat,1.0656923627475063,453.2920747823383,1004
Daging Ayam Ras,Nusa Tenggara Timur,1.547780038172007,665.8001399253732,1004
Daging Ayam Ras,Papua,1.27899634458403,540.4809157338309,1004
Daging Ayam Ras,Papua Barat,2.099857212502765,1026.3566736629352,1004
Daging Ayam Ras,Riau,1.7334644832483197,538.3303016169154,1004
Daging Ayam Ras,Sulawesi Barat,1.1298244920671663,357.19139653296014,1004
Daging Ayam Ras,Sulawesi Selatan,0.790454483955575,222.66140003109453,1004
Daging Ayam Ras,Sulawesi Tengah,1.5216050635393856,537.3476756840796,1004
Daging Ayam Ras,Sulawesi Tenggara,1.4525219010755606,496.95177433146756,1004
Daging Ayam Ras,Sulawesi Utara,1.0307687700080046,369.5136621579602,1004
Daging Ayam Ras,Sumatera Barat,1.5371578270746529,481.3102262126866,1004
Daging Ayam Ras,Sumatera Selatan,0.8074775290869499,262.93349657960204,1004
